Date,Ratio_a (HDFCLTD),Ratio_b (HDFCBANK)
2015-06-19,1.019409874,1.010690467
2015-06-22,1.02805514,1.016157205
2015-06-23,1.01073493,1.004727116
2015-06-24,0.998988484,0.994011976
2015-06-25,1.019432978,1.018359151
2015-06-26,0.983955381,0.997981221
2015-06-29,0.998175253,0.994166627
2015-06-30,1.008518086,1.009937065
2015-07-01,0.997107486,1.004872792
2015-07-02,0.99419819,0.986804681
2015-07-03,1.024004046,1.015167265
2015-07-06,1.001177767,1.008610659
2015-07-07,1.014951427,1.003091832
2015-07-08,0.964667614,0.983438377
2015-07-09,0.996317972,1.004865042
2015-07-10,0.998482844,1.015548624
2015-07-13,1.031480111,1.004950722
2015-07-14,0.995958451,0.996077179
2015-07-15,1.016497269,1.004442002
2015-07-16,1.014587919,1.016412875
2015-07-17,0.975693168,0.996277025
2015-07-20,0.991482305,1.004232137
2015-07-21,0.997149048,0.984577449
2015-07-22,1.026036901,1.014890032
2015-07-23,1.003566784,0.994167265
2015-07-24,1.0060716,0.99995487
2015-07-27,0.98325667,0.989168209
2015-07-28,0.976347305,1.011543551
2015-07-29,1.005864765,0.999864682
2015-07-30,1.018101444,1.001984933
2015-07-31,1.003443629,1.0009905
2015-08-03,0.988025962,0.98538209
2015-08-04,0.983463586,0.991829469
2015-08-05,1,1.005292466
2015-08-06,1.001074897,1.003433437
2015-08-07,0.995858419,0.996988914
2015-08-10,1.005429551,1.001830412
2015-08-11,0.988625048,1.000045677
2015-08-12,0.977763143,0.977847812
2015-08-13,0.996037878,1.006632725
2015-08-14,1.034209794,1.022504756
2015-08-17,0.984345552,0.990651661
2015-08-18,0.989449828,0.995281722
2015-08-19,0.992259695,0.995857689
2015-08-20,0.994905675,0.993390951
2015-08-21,0.982758621,0.987531404
2015-08-24,0.950665527,0.960190333
2015-08-25,0.980989082,0.999411216
2015-08-26,0.962288857,0.995139673
2015-08-27,1.083049848,1.008485446
2015-08-28,1.006700729,1.00572351
2015-08-31,0.986895748,0.999513595
2015-09-01,0.975761919,0.9733807
2015-09-02,0.970407811,0.995050495
2015-09-03,1.043538263,1.015223836
2015-09-04,0.97401988,0.985895279
2015-09-07,1.01178171,0.988353998
2015-09-08,1.013852214,1.019909594
2015-09-09,1.013321378,1.012200588
2015-09-10,0.979859268,0.994785004
2015-09-11,1.011696409,0.99950544
2015-09-14,1.007098228,1.009104404
2015-09-15,0.995906137,0.993576542
2015-09-16,1.013984829,1.010067611
2015-09-18,1.008943871,1.025797625
2015-09-21,1.000207117,1.003048345
2015-09-22,0.967945001,0.978821407
2015-09-23,0.997732329,1.017998351
2015-09-24,1.013636948,1.002096836
2015-09-28,0.991792529,0.995244436
2015-09-29,1.038092394,1.017584098
2015-09-30,0.996671598,1.003756574
2015-10-01,0.986683158,0.998924027
2015-10-05,1.050434565,1.028754742
2015-10-06,1.006563507,0.988710338
